Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
Bailey;9976001;U76;1930;1939;1990;1990;3;6;2;2;0;5;0;unknown;1930;1948;1999;x
Brayley;9976002;U76;1942;1990;1990;1990;3;6;256;2;0;5;0;unknown;1942;1960;1999;x
Bruce;9976003;U76;1930;1990;1990;1990;3;5;512;1;0;5;0;unknown;1930;1952;1999;x
James M.;9976004;U76;1944;1948;1990;1990;2;6;256;2;0;5;0;unknown;1944;1956;1999;x
Linton;9976005;U76;1943;1945;1947;1990;2;7;8192;3;0;5;1;unknown;1943;1955;1999;x
Paget;9976006;U76;1948;1990;1990;1990;3;5;0;1;0;5;0;unknown;1948;1960;1999;x
Evans;9976007;U76;1930;1930;1940;1990;2;5;0;1;0;5;0;wales6;1930;1948;1999;x
Rees;9976008;U76;1930;1940;1990;1990;2;6;4096;2;0;5;2;wales7;1930;1955;1999;x
Coleman;9976009;U76;1942;1944;1945;1990;1;5;0;1;0;5;0;wales3;1942;1960;1999;x
Longcroft;9976010;U76;1930;1930;1930;1990;1;5;0;1;0;5;2;unknown;1930;1955;1999;x
John;9976011;U76;1943;1944;1945;1947;0;7;4096;3;0;5;1;unknown;1943;1960;1999;x
