Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
Cardenas Roa;9977001;U77;1941;1990;1990;1990;3;5;256;0;0;5;0;L180000;1941;1960;1999;x
Castaneda Sanchez;9977002;U77;1930;1930;1939;1990;1;3;1;1;0;3;0;L180001;1930;1945;1999;x
Folio Lozano;9977003;U77;1938;1990;1990;1990;3;4;32;0;0;4;0;L180002;1938;1960;1999;x
Gaitan Vargas;9977004;U77;1942;1944;1946;1990;2;4;0;2;0;5;0;L180003;1942;1960;1999;x
Galves Serrano;9977005;U77;1930;1939;1990;1990;2;3;64;1;0;2;0;L180004;1930;1946;1999;x
German Ocampo;9977006;U77;1943;1990;1990;1990;3;3;4;0;0;3;0;L180005;1943;1960;1999;x
Londoño y Londoño;9977007;U77;1930;1941;1990;1990;2;3;128;1;0;2;0;L180006;1930;1946;1999;x
Martinéz Pérez;9977008;U77;1944;1990;1990;1990;3;4;128;0;0;5;0;L180007;1944;1960;1999;x
Mendieta Leon;9977009;U77;1939;1945;1990;1990;3;4;0;1;0;4;0;L180008;1939;1960;1999;x
Mercado;9977010;U77;1930;1930;1990;1990;2;3;1;0;0;4;0;L180009;1930;1945;1999;x
Mercado Sanchez;9977011;U77;1930;1939;1943;1990;2;3;128;2;0;5;0;L180010;1930;1960;1999;x
Moutis Harquer;9977012;U77;1938;1942;1990;1990;2;3;4;1;0;4;0;L180011;1938;1946;1999;x
Padilla Manrique;9977013;U77;1940;1990;1990;1990;3;3;4;0;0;3;0;L180012;1940;1960;1999;x
Piedrahita Arango;9977014;U77;1930;1939;1990;1990;2;3;1;1;0;3;0;L180013;1930;1946;1999;x
Piedrahita Escobar;9977015;U77;1930;1990;1990;1990;3;5;0;0;0;4;0;L180014;1930;1941;1999;x
Poirier Escobar;9977016;U77;1930;1930;1930;1930;0;5;514;1;0;5;0;L180015;1930;1940;1999;x
Quinones;9977017;U77;1930;1938;1943;1990;1;5;64;2;0;4;0;L180016;1930;1960;1999;x
Ramos Vasquez;9977018;U77;1945;1990;1990;1990;3;3;0;0;0;4;0;L180017;1945;1960;1999;x
Rojas Pinilla;9977019;U77;1930;1939;1942;1946;1;5;1;4;0;4;0;L180018;1930;1960;1999;x
Romero Albeiro;9977020;U77;1943;1945;1990;1990;2;3;0;1;0;4;0;L180019;1943;1960;1999;x
Ruiz Mares;9977021;U77;1930;1939;1990;1990;2;3;2;1;0;3;0;L180020;1930;1947;1999;x
Tamayo;9977022;U77;1943;1990;1990;1990;3;4;256;0;0;3;0;L180022;1943;1960;1999;x
Villamil Cespedes;9977023;U77;1938;1943;1990;1990;3;5;256;1;0;2;0;L180023;1938;1960;1999;x
Acevedo;9977024;U77;1930;1930;1930;1990;1;3;8704;1;0;5;1;L180024;1930;1960;1999;x
Balancá Morales;9977025;U77;1942;1990;1990;1990;3;3;1024;0;0;5;1;L180025;1942;1960;1999;x
Benitez Moreno;9977026;U77;1945;1990;1990;1990;3;3;8192;0;0;4;1;L180026;1945;1960;1999;x
Espinoza Gacitua;9977027;U77;1930;1941;1990;1990;3;4;0;1;0;4;1;L180027;1930;1945;1999;x
Mantilla Duarte;9977028;U77;1938;1943;1990;1990;2;3;0;1;0;3;1;L180028;1938;1960;1999;x
Rojas Mercado;9977029;U77;1939;1942;1990;1990;2;3;0;1;0;4;1;L180031;1939;1946;1999;x
Trevisor Mendez;9977030;U77;1944;1946;1990;1990;2;3;0;1;0;4;1;L180033;1944;1960;1999;x
Daza Alvarez;9977031;U77;1930;1930;1939;1990;1;5;0;2;0;5;2;L180034;1930;1946;1999;x
Fuentes Sebastían;9977032;U77;1941;1990;1990;1990;3;3;65536;0;0;5;2;L180035;1941;1960;1999;x
Lema Pasada;9977033;U77;1942;1990;1990;1990;3;4;0;0;0;3;2;L180036;1942;1960;1999;x
Mendéz;9977034;U77;1930;1941;1990;1990;2;3;4608;1;0;4;2;L180037;1930;1945;1999;x
Mercado Diaz;9977035;U77;1930;1937;1990;1990;2;3;0;1;0;3;2;L180038;1930;1942;1999;x
Nahuel Díaz;9977036;U77;1944;1946;1990;1990;3;4;0;1;0;3;2;L180039;1944;1960;1999;x
Olano;9977037;U77;1930;1990;1990;1990;3;4;0;0;0;4;2;L180040;1930;1939;1999;x
Rodriguez;9977038;U77;1938;1990;1990;1990;3;3;131072;0;0;3;2;L180041;1938;1943;1999;x
Rodriguez Galvez;9977039;U77;1939;1942;1990;1990;2;3;0;1;0;3;2;L180042;1939;1960;1999;x
Romero Albeiro;9977040;U77;1942;1945;1990;1990;2;4;0;1;0;4;2;L180043;1942;1960;1999;x
Santamaria;9977041;U77;1930;1990;1990;1990;3;4;4096;0;0;4;2;L180044;1930;1941;1999;x
Silva Amiante;9977042;U77;1945;1990;1990;1990;3;3;16384;0;0;4;2;L180045;1945;1960;1999;x
Paris Gordillo;9977043;U77;1947;1948;1950;1990;1;5;0;2;0;5;0;M37169;1947;1960;1999;x
Auuro Beujon;9977044;U77;1939;1990;1990;1990;3;6;288;0;0;5;0;L270000;1939;1944;1999;x
