U78;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700800;Head of State;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700801;Head of Government;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700802;Foreign Minister;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700803;Minister of Armament;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700804;Minister of Security;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700805;Head of Military Intelligence;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700806;Chief of Staff;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700807;Chief of Army;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700808;Chief of Navy;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700809;Chief of Air Force;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
700810;Head of State;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700811;Head of Government;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700812;Foreign Minister;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700813;Minister of Armament;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700814;Minister of Security;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700815;Head of Military Intelligence;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700816;Chief of Staff;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700817;Chief of Army;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700818;Chief of Navy;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700819;Chief of Air Force;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
700820;Head of State;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700821;Head of Government;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700822;Foreign Minister;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700823;Minister of Armament;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700824;Minister of Security;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700825;Head of Military Intelligence;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700826;Chief of Staff;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700827;Chief of Army;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700828;Chief of Navy;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
700829;Chief of Air Force;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
