U83;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800300;Head of State;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800301;Head of Government;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800302;Foreign Minister;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800303;Minister of Armament;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800304;Minister of Security;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800305;Head of Military Intelligence;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800306;Chief of Staff;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800307;Chief of Army;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800308;Chief of Navy;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800309;Chief of Air Force;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800310;Head of State;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800311;Head of Government;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800312;Foreign Minister;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800313;Minister of Armament;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800314;Minister of Security;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800315;Head of Military Intelligence;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800316;Chief of Staff;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800317;Chief of Army;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800318;Chief of Navy;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800319;Chief of Air Force;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800320;Head of State;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800321;Head of Government;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800322;Foreign Minister;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800323;Minister of Armament;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800324;Minister of Security;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800325;Head of Military Intelligence;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800326;Chief of Staff;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800327;Chief of Army;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800328;Chief of Navy;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800329;Chief of Air Force;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
