U90;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900000;Head of State;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900001;Head of Government;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900002;Foreign Minister;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900003;Minister of Armament;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900004;Minister of Security;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900005;Head of Military Intelligence;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900006;Chief of Staff;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900007;Chief of Army;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900008;Chief of Navy;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900009;Chief of Air Force;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900010;Head of State;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900011;Head of Government;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900012;Foreign Minister;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900013;Minister of Armament;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900014;Minister of Security;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900015;Head of Military Intelligence;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900016;Chief of Staff;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900017;Chief of Army;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900018;Chief of Navy;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900019;Chief of Air Force;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900020;Head of State;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900021;Head of Government;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900022;Foreign Minister;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900023;Minister of Armament;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900024;Minister of Security;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900025;Head of Military Intelligence;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900026;Chief of Staff;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900027;Chief of Army;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900028;Chief of Navy;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900029;Chief of Air Force;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
