U98;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900800;Head of State;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900801;Head of Government;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900802;Foreign Minister;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900803;Minister of Armament;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900804;Minister of Security;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900805;Head of Military Intelligence;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900806;Chief of Staff;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900807;Chief of Army;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900808;Chief of Navy;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900809;Chief of Air Force;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
900810;Head of State;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900811;Head of Government;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900812;Foreign Minister;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900813;Minister of Armament;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900814;Minister of Security;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900815;Head of Military Intelligence;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900816;Chief of Staff;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900817;Chief of Army;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900818;Chief of Navy;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900819;Chief of Air Force;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
900820;Head of State;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900821;Head of Government;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900822;Foreign Minister;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900823;Minister of Armament;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900824;Minister of Security;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900825;Head of Military Intelligence;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900826;Chief of Staff;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900827;Chief of Army;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900828;Chief of Navy;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
900829;Chief of Air Force;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
