U99;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
990001;Head of State;Cardinal ;36;NS;Powerhungry Demagogue;Very Low;M990001;x
990002;Head of Government;帅的惊动党中央 ;36;NS;Silent Workhorse;Very Low;M990002;x
990003;Foreign Minister;丑的吓坏联合国 ;36;FA;Biased Intellectual;Very Low;M990003;x
990004;Minister of Armament;黑暗之神 ;36;NS;Administrative Genius;Very Low;M990004;x
990005;Minister of Security;凯文PK ;36;NS;Silent Lawyer;Very Low;M990005;x
990006;Head of Military Intelligence;唯我独脆 ;36;FA;Technical Specialist;Very Low;M990006;x
990007;Chief of Staff;桠枫 ;36;LWR;School of Manoeuvre;Very Low;M990007;x
990008;Chief of Army;twin1981 ;36;PA;Elastic Defence Doctrine;Very Low;M990008;x
990009;Chief of Navy;齿轮 ;36;NS;Open Seas Doctrine;Very Low;M990009;x
990010;Chief of Air Force;XKLucifer ;36;NS;Air Superiority Doctrine;Very Low;M990010;x
