U84;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800400;Head of State;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800401;Head of Government;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800402;Foreign Minister;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800403;Minister of Armament;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800404;Minister of Security;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800405;Head of Military Intelligence;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800406;Chief of Staff;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800407;Chief of Army;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800408;Chief of Navy;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800409;Chief of Air Force;布卢 沙多夫 ;36;ML;Undistinguished Suit;Very High;unknown;x
800410;Head of State;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800411;Head of Government;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800412;Foreign Minister;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800413;Minister of Armament;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800414;Minister of Security;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800415;Head of Military Intelligence;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800416;Chief of Staff;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800417;Chief of Army;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800418;Chief of Navy;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800419;Chief of Air Force;布莱克 沙多夫 ;36;FA;Undistinguished Suit;Very High;unknown;x
800420;Head of State;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800421;Head of Government;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800422;Foreign Minister;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800423;Minister of Armament;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800424;Minister of Security;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800425;Head of Military Intelligence;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800426;Chief of Staff;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800427;Chief of Army;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800428;Chief of Navy;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
800429;Chief of Air Force;雷德 沙多夫 ;36;LE;Undistinguished Suit;Very High;unknown;x
