#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#########################################;;;;;;;;;;;x
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;x
#########################################;;;;;;;;;;;x
EVT_150001_DESC;1932年2月16日，东北各省的领袖张景惠、熙洽、马占山、臧式毅、谢介石、于冲汉、赵欣伯、袁金铠等人在沈阳大和旅馆召开’东北政务会议‘，会议由关东军司令本庄繁主持，决定迎接溥仪为’满洲国‘执政，并分配了各人在政权中的职务。其中板垣征四郎任奉天特务机关长、满洲国军政部最高顾问。1932年3月1日，’满洲国‘宣布成立。1934年，改’国号‘为’满洲帝国’，执政改称’皇帝’，改’年号’为’康德’。 ;;;;;;;;;;X
EVT_150020_DESC;1940年1月1日凌晨零时，橿原神宫的莵田宫司擂响了神殿前的大鼓，宣告新年的开始。在新年的头三天里共计有1250000人参拜了橿原神宫，而在元旦上午9点，据说日本一亿国民（包含朝鲜、台湾、关东州）集体向昭和天皇的皇居遥拜，突然感觉默罕默德多了一个竞争对手。而联合舰队司令山本五十六也率领众位舰娘驶入大阪湾，发射礼炮向天皇致敬。 ;;;;;;;;;;X
EVT_150021_DESC;1940年4月26日，满洲国皇帝溥仪来到日本参加皇纪2600年。但溥仪访日的真正的意图很少有人知道，原来是迎接天照大神的“神体”。据溥仪1954年供：在日本他对着日本天皇说“我愿意迎接日本天照大神到满洲国奉祀。”之后溥仪参拜伊势皇太神宫和各地天皇灵寝,，跪拜昭和天皇，改日本纪元2600年。裕仁天皇让人拿来神物，溥仪自然不知道天照大神的神物是什麼，不过心想怎样也是个宝贝吧，就算是不价值连城怎样也异乎寻常吧。当翻开装有神物的盒子后，裕仁天皇指着盒子里的三件东西，一把剑，一面铜镜，一块勾玉，然后向溥仪讲解了起来，说这是日本的神物，是日本天皇正统的意味。 ;;;;;;;;;;X
EVT_150024_DESC;溥仪听完后惊讶无法，也可以说直接就无语了。按照溥仪《我的前半生》记载，溥仪听后，心想在北京琉璃厂，这种玩意多的是，就是太监从紫禁城偷出去的碎片，也比这个值钱，这就是日本天照大神吗？这真的是日本的祖宗吗？溥仪是一个非常仰慕祖先的人，在去日本的时候，在祠堂里跪拜，详细给祖先讲解了去日本的必要性，但是带回的却是这样的东西，溥仪在会东北的路上直接哭了。有意思的是，回到长春后，虽然也摆放了这三件神物，但是溥仪每次祭拜都先祭拜自己的祖宗，告诉祖宗他不是真心去祭奠日本的祖先，然后才去日本庙里，一遍行礼，一遍心里默念：我不是在给他行礼，我是对着北京坤宁宫行礼。 ;;;;;;;;;;X
EVT_150056_DESC;自国共合作起，抗战的战争强度提高，与日本的预测背道而驰。由于战争的长期化，计划越来越不切实际：日本不仅难以向满洲国提供产业建设所需要的资金与物资，更因为战争的物资消耗，要求满洲国提高生产量。该计划自第4年度起，执行“彻底的重点主义”，集中提高钢铁和煤炭的生产量，而军需以外的部分则下调甚至终止了计划。至此，该计划已经背离了初衷，用现有设备最大限度生产成了唯一的目的。不可避免地，生产这些产品的国策会社的生产部门劳动强度提高，劳动条件恶化。原本日本为了构建总体战体制，对满洲国的经济建设就过于强调铁路和重工业方面，其经营效率并不高，对日本的经济也造成了一定负担。自1940年起，构筑总体战体制的目标也基本被放弃，满洲国在大东亚共荣圈中的位置降低为粮食供给基地。 ;;;;;;;;;;X
EVT_901499_DESC;
    “哐啷”一声，是杯子砸在地上的清脆声，霍夫曼醒了，他发现自己好端端地躺在床上，哪还有祖父的影踪？刚才一伸手只是碰掉了床头柜上的杯子。 	这是什么地方？他警惕地打量着四周，难道自己被送到了医院？但周边的布置并不像病房。他挣扎了一下，似乎身上并没有明显的不适感。还没等他想明白怎么回事，一个匆匆进来、身着白大褂的男子发出了惊喜的声音：“元首？您终于醒过来了？”
    “你是谁？我怎么会在这里？”霍夫曼打量着对方，虽然对方身着白大褂，但这里的摆设却不是医院常见的样式，倒有点像鹰巢里的房子。
    “元首？我是莫雷尔啊，我是您最忠诚的医生……”身着白大褂的男子显然没有料到霍夫曼的这番问话，连连为自己解释。
    “你在叫我什么……”
    “元首！”
    天呐……元首！霍夫曼下意识的摸了摸自己的鼻子，手感和以往大不相同，再看看自己的手，感觉也有了异样，更要命的是，他居然还用手背感触到了鼻翼下浓密的胡须——他可是从来不蓄须的。 ;;;;;;;;;;X
EVT_901502_DESC;在侦破卡纳里斯特大叛国案后，元首进行了新的人事任免。免去哈尔德的总参谋长职务，资历不深的蔡茨勒少将被任命为总参谋长。西线总司令由龙德施泰德元帅担任；东线总司令由元首亲自兼任；南线总司令由凯塞林元帅担任。根据元首的指示，在接下来半年里，东线司令部所辖部队将稳定在目前的水平上，除非特殊情况，不再会有任何新编陆军师的组建，不过目前各部队损失的人员、物资、技术兵器将按照紧急情况实现补给。整体而言，接下来几个月我们将采取攻势防御的手段，重点是消灭俄国人的有生力量而非夺取战略要点，希望能够通过一年的调整、补充，使我们能够在南线战略上打开局面的同时在明年获得对斯大林的压倒性优势。 ;;;;;;;;;;X
