;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
NAME_INFANTRY;标准步兵师 ;;;;;;;;;;X
NAME_CAVALRY;骑兵师 ;;;;;;;;;;X
NAME_MOTORIZED;常备步兵师 ;;;;;;;;;;X
NAME_MECHANIZED;王牌步兵师 ;;;;;;;;;;X
NAME_LIGHT_ARMOR;王牌装甲师 ;;;;;;;;;;X
NAME_ARMOR;装甲师 ;;;;;;;;;;X
NAME_PARATROOPER;空降师 ;;;;;;;;;;X
NAME_MARINE;海军陆战队 ;;;;;;;;;;X
NAME_BERGSJAEGER;山地师 ;;;;;;;;;;X
NAME_MILITIA;动员步兵师 ;;;;;;;;;;X
NAME_GARRISON;要塞守备师 ;;;;;;;;;;X
NAME_HQ;指挥部 ;;;;;;;;;;X
NAME_FIGHTER;@AIR 战斗机 ;;;;;;;;;;X
NAME_INTERCEPTOR;@AIR 截击机 ;;;;;;;;;;X
NAME_MULTI_ROLE;@AIR 战斗轰炸机 ;;;;;;;;;;X
NAME_ESCORT;@AIR 护航战斗机 ;;;;;;;;;;X
NAME_STRATEGIC_BOMBER;@AIR 战略轰炸机 ;;;;;;;;;;X
NAME_TACTICAL_BOMBER;@AIR 战术轰炸机 ;;;;;;;;;;X
NAME_NAVAL_BOMBER;@AIR 鱼雷攻击机 ;;;;;;;;;;X
NAME_TRANSPORT_PLANE;@AIR 运输机 ;;;;;;;;;;X
NAME_BATTLESHIP;@NAV 战列舰 ;;;;;;;;;;X
NAME_LIGHT_CRUISER;@NAV 轻巡洋舰 ;;;;;;;;;;X
NAME_HEAVY_CRUISER;@NAV 重巡洋舰 ;;;;;;;;;;X
NAME_BATTLECRUISER;@NAV 战列巡洋舰 ;;;;;;;;;;X
NAME_DESTROYER;@NAV 驱逐舰 ;;;;;;;;;;X
NAME_CARRIER;@NAV 航空母舰 ;;;;;;;;;;X
NAME_SUBMARINE;@NAV 潜艇 ;;;;;;;;;;X
NAME_TRANSPORT;@NAV 运输舰 ;;;;;;;;;;X
NAME_FLYING_BOMB;飞弹 ;;;;;;;;;;X
NAME_FLYING_ROCKET;战略火箭 ;;;;;;;;;;X
NAME_BALLISTIC_MISSILE;弹道导弹 ;;;;;;;;;;X
NAME_ICBM;洲际导弹 ;;;;;;;;;;X
NAME_ARTILLERY;炮兵营 ;;;;;;;;;;X
NAME_SP_ARTILLERY;自行火炮营 ;;;;;;;;;;X
NAME_ROCKET_ARTILLERY;火箭炮营 ;;;;;;;;;;X
NAME_SP_ROCKET_ARTILLERY;自行火箭炮营 ;;;;;;;;;;X
NAME_TANK_DESTROYER;坦克歼击车营 ;;;;;;;;;;X
NAME_HEAVY_ARMOR;重型坦克营 ;;;;;;;;;;X
NAME_SUPER_HEAVY_ARMOR;超重型坦克营 ;;;;;;;;;;X
NAME_ARMORED_CAR;汽车营 ;;;;;;;;;;X
NAME_LIGHT_ARMOR_BRIG;坦克营 ;;;;;;;;;;X
NAME_POLICE;宪兵营 ;;;;;;;;;;X
NAME_ANTITANK;反坦克营 ;;;;;;;;;;X
NAME_ANTIAIR;防空营 ;;;;;;;;;;X
NAME_ENGINEER;工兵营 ;;;;;;;;;;X
NAME_CAS;@AIR 俯冲轰炸机 ;;;;;;;;;;X
NAME_CAG;舰载机中队 ;;;;;;;;;;X
NAME_ESCORT_CARRIER;@NAV 轻型航空母舰 ;;;;;;;;;;X
NAME_NUCLEAR_SUBMARINE;@NAV 重型潜艇 ;;;;;;;;;;X
;;;;;;;;;;;X
NAME_NAVAL_ASW;舰载反潜系统 ;;;;;;;;;;X
NAME_NAVAL_ANTI_AIR_S;辅助舰防空系统 ;;;;;;;;;;X
NAME_NAVAL_RADAR_S;辅助舰雷达系统 ;;;;;;;;;;X
NAME_NAVAL_FIRE_CONTROLL_S;辅助舰火控系统 ;;;;;;;;;;X
NAME_NAVAL_TORPEDOES_S;辅助舰鱼雷装置 ;;;;;;;;;;X
NAME_NAVAL_ANTI_AIR_L;主力舰防空系统 ;;;;;;;;;;X
NAME_NAVAL_sa_L;主力舰辅助火力 ;;;;;;;;;;X
NAME_NAVAL_RADAR_L;主力舰雷达系统 ;;;;;;;;;;X
NAME_NAVAL_FIRE_CONTROLL_L;主力舰火控系统 ;;;;;;;;;;X
NAME_NAVAL_IMPROVED_HULL_L;超重型复合装甲 ;;;;;;;;;;X
NAME_NAVAL_IMPROVED_HULL_S;轻型复合装甲 ;;;;;;;;;;X
NAME_NAVAL_TORPEDOES_L;主力舰鱼雷装置 ;;;;;;;;;;X
NAME_NAVAL_MINES;舰载水雷系统 ;;;;;;;;;;X
NAME_NAVAL_SPOTTER_L;舰载侦察机 ;;;;;;;;;;X
NAME_NAVAL_SPOTTER_S;辅助舰侦察机 ;;;;;;;;;;X
;;;;;;;;;;;X
