# STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
# Countries!;;;;;;;;;;;X
##;;;;;;;;;;;X
## Generic strings;;;;;;;;;;;X
##;;;;;;;;;;;X
HUN_EMP_NAME;奥匈帝国 ;;;;;;;;;X
AUS_EMP_NAME;奥地利帝国 ;;;;;;;;;;;X
BEL_NOR_NAME;比利时 ;;;;;;;;;;;X
CON_SYN_NAME;中央非洲 ;;;;;;;;;;;X
CZE_KIN_NAME;波希米亚王国 ;;;;;;;;;;;X
CZE_UNI_NAME;捷克和斯洛伐克王国 ;;;;;;;;;;;X
CZE_REP_NAME;捷克共和国 ;;;;;;;;;;;X
CZE_SLO_NAME;捷克斯洛伐克 ;;;;;;;;;;;X
GEO_KIN_NAME;格鲁吉亚王国 ;;;;;;;;;;;X
GEO_TRANSCAUCASIAN;高加索社会主义共和国 ;;;;;;;;;;;X
ITA_KIN_NAME;意大利王国 ;;;;;;;;;;;X
LAT_NOR_NAME;拉脱维亚 ;;;;;;;;;;;X
LBY_TRI_NAME;的黎波里 ;;;;;;;;;;;X
PRI_RUS_NAME;俄罗斯共和国 ;;;;;;;;;;;X
RUS_REP_NAME;俄罗斯共和国 ;;;;;;;;;;;X
RSI_NOR_NAME;意大利共和国 ;;;;;;;;;;;X
RUS_EMP_NAME;俄罗斯帝国 ;;;;;;;;;;;X
SER_KIN_NAME;塞尔维亚王国 ;;;;;;;;;;;X
SCO_KIN_NAME;苏格兰王国 ;;;;;;;;;;;X
SLO_KIN_NAME;斯洛伐克王国 ;;;;;;;;;;;X
SOV_UNI_NAME;苏维埃联盟 ;;;;;;;;;;;X
U08_KIN_NAME;法兰西王国 ;;;;;;;;;;;X
U16_KIN_NAME;英格兰王国 ;;;;;;;;;;;X
U17_KIN_NAME;威尔士王国 ;;;;;;;;;;;X
U21_KIN_NAME;布列塔尼大公国 ;;;;;;;;;;;X
U22_KIN_NAME;诺曼底大公国 ;;;;;;;;;;;X
U23_KIN_NAME;欧西坦尼亚大公国 ;;;;;;;;;;;X
VIC_EMP_NAME;法兰西帝国 ;;;;;;;;;;;X
VIC_KIN_NAME;法兰西王国 ;;;;;;;;;;;X
VIC_NOR_NAME;法兰西共和国 ;;;;;;;;;;;X
CHI_SOV_NAME;中华人民共和国 ;;;;;;;;;;;X
MAN_UNI_NAME;中华民国 ;;;;;;;;;;;X
SOV_WR_NAME;苏维埃共和国 ;;;;;;;;;;;X
RSI_TWS_NAME;两西西里王国 ;;;;;;;;;;;X
MTN_KIN_NAME;黑山王国 ;;;;;;;;;;;X
FIN_RUS_NAME;芬兰大公国 ;;;;;;;;;;;X
POL_KIN_NAME;波兰王国 ;;;;;;;;;;;X
POR_KIN_NAME;葡萄牙王国 ;;;;;;;;;;;X
ARA_SYN_NAME;阿拉伯工团联盟国 ;;;;;;;;;;;X
TEX_CSA_NAME;美利坚邦联联盟国 ;;;;;;;;;;;X
ARG_DEF_NAME;阿根廷 ;;;;;;;;;;;X
U25_SYN_NAME;多瑙河联盟 ;;;;;;;;;;;X
IND_UNI_NAME;印度联邦 ;;;;;;;;;;;X
YUG_KIN_NAME;南斯拉夫王国 ;;;;;;;;;;;X
BLR_RUS_NAME;白俄罗斯 ;;;;;;;;;;;X
COL_GRC_NAME;大哥伦比亚 ;;;;;;;;;;;X
LIT_RUS_NAME;立陶宛 ;;;;;;;;;;;X
UKR_RUS_NAME;罗塞尼亚 ;;;;;;;;;;;X
GLD_RUS_NAME;加利西亚 ;;;;;;;;;;;X
LAT_RUS_NAME;波罗的海  ;;;;;;;;;;;X
MAN_RUS_NAME;满洲国 ;;;;;;;;;;;X
SIK_RUS_NAME;维吾尔尼亚 ;;;;;;;;;;;X
GUA_NOR_NAME;危地马拉 ;;;;;;;;;;;X
NIC_NOR_NAME;尼加拉瓜 ;;;;;;;;;;;X
CHC_EMP_NAME;大天帝国 ;;;;;;;;;;;X
U07_REP_NAME;英格兰联邦 ;;;;;;;;;;;X
MAN_EMP_NAME;满洲帝国 ;;;;;;;;;;;X
SPR_REP_NAME;西班牙共和国 ;;;;;;;;;;;X
MON_EMP_NAME;蒙古帝国 ;;;;;;;;;;;X
CXB_FED_NAME;回疆共和国 ;;;;;;;;;;;X
PER_EMP_NAME;波斯帝国 ;;;;;;;;;;;X
CSX26;国民军 ;;;;;;;;;;;X
CHI26;国民党 ;;;;;;;;;;;X
MAN26;奉系军阀 ;;;;;;;;;;;X
BRA_EMP_NAME;巴西帝国 ;;;;;;;;;;;X
PRK_REP_NAME;印度共和国 ;;;;;;;;;;;X
SPR_CAT_NAME;加泰罗尼亚 ;;;;;;;;;;;X
SPA_CAST_NAME;卡斯蒂利亚 ;;;;;;;;;;;X
EUS_GAL_NAME;加利西亚 ;;;;;;;;;;;X
U11_BWU_NAME;巴登-符腾堡 ;;;;;;;;;;;X
AUS_GDE_NAME;德意志帝国 ;;;;;;;;;;;X
SPA_REP_NAME;西班牙共和国国 ;;;;;;;;;;;X
SER_YUGKIN_NAME;塞尔维亚-克罗地亚-斯洛文尼亚王国 ;;;;;;;;;;;X
SER_YUGREP_NAME;塞尔维亚-克罗地亚-斯洛文尼亚联邦 ;;;;;;;;;;;X
